Star_ID,ID,Label,X,Y,Z,Luminosity,colorb_v,absmag,appmag,texnum,Distance (light-years),dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,created_at,updated_at,constellation_id,constellation_name,constellation_galaxy
104553,104553,HIP59449 HD105937 Gli Rho Cen,46.562,-92.2433,18.2713,220.70604,-0.167,-1.13,3.97,1,342.08,1,9.53,7.66,-7.262,-31.59,-2.019,32.477,59449,57:30.3,57:30.3,31,Lower part to Beta,Cen
104327,104327,HIP59196 HD105435 Gli Del Cen,52.0493,-106.7352,24.3075,1059.47852,-0.196,-2.84,2.58,1,395.15,1,8.25,9.58,-17.664,-26.085,-2.901,31.636,59196,57:28.3,57:28.3,31,Lower part to Beta,Cen
105734,105734,HIP60808 HD108446 Gli,17.3126,-31.1351,7.8052,0.33563,0.991,5.91,8.72,1,118.89,1,27.42,4.38,0,0,0,0,60808,57:40.6,57:40.6,31,Lower part to Beta,Cen
106701,106701,HIP61932 HD110304 Gli Gam Cen  Muhlifain,20.1398,-33.183,9.5915,163.59596,0.046,-0.81,2.2,1,130.35,1,25.01,4.04,-33.541,-14.644,-2.774,36.703,61932,57:49.3,57:49.3,31,Lower part to Beta,Cen
110718,110718,HIP66657 HD118716 Gli Eps Cen,73.489,-86.9883,17.4683,1250.14526,-0.226,-3.02,2.29,1,375.58,1,8.68,8.87,-0.091,-12.955,0.843,12.983,66657,58:27.5,58:27.5,31,Lower part to Beta,Cen
112425,112425,HIP68702 HD122451 Gli Bet Cen  Hadar,107.2368,-120.0781,3.5162,11476.69336,-0.226,-5.42,0.61,1,524.96,1,6.21,9.02,-3.458,-36.454,3.068,36.746,68702,58:43.1,58:43.1,31,Lower part to Beta,Cen
114903,114903,HIP71683 HD128620 Gli Alp1 Cen,0.965,-0.9403,-0.0161,1.4225,0.603,4.34,-0.01,1,4.39,1,742.12,0.19,-33.021,1.949,10.753,34.783,71683,59:05.8,59:05.8,32,Vertical Part,Cen
110718,110718,HIP66657 HD118716 Gli Eps Cen,73.489,-86.9883,17.4683,1250.14526,-0.226,-3.02,2.29,1,375.58,1,8.68,8.87,-0.091,-12.955,0.843,12.983,66657,58:27.5,58:27.5,32,Vertical Part,Cen
111842,111842,HIP68002 HD121263 Gli Zet Cen,79.5153,-82.1435,28.9131,1030.88074,-0.181,-2.81,2.55,1,384.43,1,8.48,8.73,-3.728,-44.978,6.761,45.636,68002,58:37.9,58:37.9,32,Vertical Part,Cen
111403,111403,HIP67472 HD120324 Gli Mu Cen,106.4877,-109.3606,52.9085,829.12256,-0.196,-2.57,3.47,1,526.66,1,6.19,11.47,1.589,-29.704,6.2,30.386,67472,58:33.7,58:33.7,32,Vertical Part,Cen
111396,111396,HIP67464 HD120307 Gli Nu Cen,95.7937,-97.775,49.5121,711.35516,-0.196,-2.41,3.41,1,474.53,1,6.87,11.21,0.611,-28.097,5.965,28.73,67464,58:33.6,58:33.6,32,Vertical Part,Cen
